Date,usd
2020-09-01,27.4500
2020-09-02,27.5200
2020-09-03,27.5400
2020-09-04,27.5600
2020-09-05,27.5600
2020-09-07,27.6500
2020-09-08,27.6700
2020-09-09,27.7000
2020-09-10,27.7200
2020-09-11,27.7800
2020-09-12,27.7800
2020-09-14,27.8700
2020-09-15,27.9800
2020-09-16,27.9500
2020-09-17,28.0100
2020-09-18,28.0500
2020-09-19,28.0500
2020-09-21,28.1300
2020-09-22,28.1000
2020-09-23,28.1200
2020-09-24,28.1500
2020-09-25,28.1700
2020-09-26,28.1700
2020-09-28,28.1500
2020-09-29,28.2000
2020-09-30,28.2000
